HorasEstudio,NotaExamen,Aprobado/Desaprobado
20,19,si
6,10,no
18,17,si
10,12,si
16,15,si
4,2,no
4,2,no
8,6,no
9,7,no
14,13,si
16,14,si
19,20,si
20,20,si
18,19,si
16,15,si
16,15,si
8,9,no
9,9,no
8,8,no
4,2,no
2,2,no
2,2,no
2,2,no
3,2,no
3,4,no
4,6,no
4,5,no
9,7,no
10,11,si
16,14,si
18,17,si
20,19,si
6,10,no
18,17,si
10,12,si
16,15,si
4,2,no
4,2,no
8,6,no
9,7,no
20,19,si
6,10,no
18,17,si
10,12,si
16,15,si
4,2,no
4,2,no
8,6,no
9,7,no
14,13,si
16,14,si
19,20,si
20,20,si
18,19,si
16,15,si
16,15,si
8,9,no
9,9,no
8,8,no
4,2,no
2,2,no
2,2,no
2,2,no
3,2,no
3,4,no
4,6,no
4,5,no
9,7,no
10,11,si
16,14,si
18,17,si
20,19,si
6,10,no
18,17,si
10,12,si
16,15,si
4,2,no
4,2,no
8,6,no
9,7,no
